acc_arith,acc_mean,acc_polite,acc_refusal,acc_worst,alpha,model,variant
1.0,1.0,1.0,1.0,1.0,,merge_all_linear,baseline
0.0,0.6666666666666666,1.0,1.0,0.0,0.75,alpha_refusal_late_mlp_a0p75,late_mlp
0.0,0.6666666666666666,1.0,1.0,0.0,1.0,alpha_refusal_late_mlp_a1,late_mlp
0.0,0.6666666666666666,1.0,1.0,0.0,1.25,alpha_refusal_late_mlp_a1p25,late_mlp
0.0,0.6666666666666666,1.0,1.0,0.0,0.75,alpha_refusal_late_mlp_attn_a0p75,late_mlp_attn
0.0,0.6666666666666666,1.0,1.0,0.0,1.0,alpha_refusal_late_mlp_attn_a1,late_mlp_attn
0.0,0.6666666666666666,1.0,1.0,0.0,1.25,alpha_refusal_late_mlp_attn_a1p25,late_mlp_attn
0.0,0.5,1.0,0.5,0.0,0.5,alpha_refusal_late_mlp_a0p5,late_mlp
0.0,0.5,1.0,0.5,0.0,0.5,alpha_refusal_late_mlp_attn_a0p5,late_mlp_attn
0.0,0.3333333333333333,1.0,0.0,0.0,0.25,alpha_refusal_late_mlp_a0p25,late_mlp
0.0,0.3333333333333333,1.0,0.0,0.0,0.25,alpha_refusal_late_mlp_attn_a0p25,late_mlp_attn
0.0,0.3333333333333333,0.0,1.0,0.0,,expert_refusal,baseline
0.0,0.3333333333333333,1.0,0.0,0.0,,merge_arith_polite,baseline
0.0,0.3333333333333333,0.0,1.0,0.0,,merge_arith_refusal,baseline
0.0,0.0,0.0,0.0,0.0,,base,baseline
