alpha,bundle,variable_count,variables_added,i_minus_it,first_token_outcome
0.70,common9_plus_none,0,,-0.406250,fail
0.70,common9_plus_1338,1,1338,-0.406250,fail
0.70,common9_plus_6289,1,6289,-0.406250,fail
0.70,common9_plus_7531,1,7531,-0.406250,fail
0.70,common9_plus_8775,1,8775,-0.390625,fail
0.70,common9_plus_9407,1,9407,-0.406250,fail
0.70,common9_plus_1338_6289,2,"1338,6289",-0.390625,fail
0.70,common9_plus_1338_7531,2,"1338,7531",-0.390625,fail
0.70,common9_plus_1338_8775,2,"1338,8775",-0.390625,fail
0.70,common9_plus_1338_9407,2,"1338,9407",-0.390625,fail
0.70,common9_plus_6289_7531,2,"6289,7531",-0.390625,fail
0.70,common9_plus_6289_8775,2,"6289,8775",-0.390625,fail
0.70,common9_plus_6289_9407,2,"6289,9407",-0.390625,fail
0.70,common9_plus_7531_8775,2,"7531,8775",-0.390625,fail
0.70,common9_plus_7531_9407,2,"7531,9407",-0.390625,fail
0.70,common9_plus_8775_9407,2,"8775,9407",-0.390625,fail
0.70,common9_plus_1338_6289_7531,3,"1338,6289,7531",-0.390625,fail
0.70,common9_plus_1338_6289_8775,3,"1338,6289,8775",-0.390625,fail
0.70,common9_plus_1338_6289_9407,3,"1338,6289,9407",-0.390625,fail
0.70,common9_plus_1338_7531_8775,3,"1338,7531,8775",-0.375000,fail
0.70,common9_plus_1338_7531_9407,3,"1338,7531,9407",-0.375000,fail
0.70,common9_plus_1338_8775_9407,3,"1338,8775,9407",-0.390625,fail
0.70,common9_plus_6289_7531_8775,3,"6289,7531,8775",-0.375000,fail
0.70,common9_plus_6289_7531_9407,3,"6289,7531,9407",-0.375000,fail
0.70,common9_plus_6289_8775_9407,3,"6289,8775,9407",-0.375000,fail
0.70,common9_plus_7531_8775_9407,3,"7531,8775,9407",-0.390625,fail
0.70,common9_plus_1338_6289_7531_8775,4,"1338,6289,7531,8775",-0.359375,fail
0.70,common9_plus_1338_6289_7531_9407,4,"1338,6289,7531,9407",-0.375000,fail
0.70,common9_plus_1338_6289_8775_9407,4,"1338,6289,8775,9407",-0.375000,fail
0.70,common9_plus_1338_7531_8775_9407,4,"1338,7531,8775,9407",-0.375000,fail
0.70,common9_plus_6289_7531_8775_9407,4,"6289,7531,8775,9407",-0.359375,fail
0.70,common9_plus_1338_6289_7531_8775_9407,5,"1338,6289,7531,8775,9407",-0.359375,fail
0.75,common9_plus_none,0,,0.000000,tie
0.75,common9_plus_1338,1,1338,0.000000,tie
0.75,common9_plus_6289,1,6289,0.000000,tie
0.75,common9_plus_7531,1,7531,0.000000,tie
0.75,common9_plus_8775,1,8775,0.000000,tie
0.75,common9_plus_9407,1,9407,0.000000,tie
0.75,common9_plus_1338_6289,2,"1338,6289",0.015625,pass
0.75,common9_plus_1338_7531,2,"1338,7531",0.015625,pass
0.75,common9_plus_1338_8775,2,"1338,8775",0.000000,tie
0.75,common9_plus_1338_9407,2,"1338,9407",0.000000,tie
0.75,common9_plus_6289_7531,2,"6289,7531",0.015625,pass
0.75,common9_plus_6289_8775,2,"6289,8775",0.015625,pass
0.75,common9_plus_6289_9407,2,"6289,9407",0.015625,pass
0.75,common9_plus_7531_8775,2,"7531,8775",0.015625,pass
0.75,common9_plus_7531_9407,2,"7531,9407",0.015625,pass
0.75,common9_plus_8775_9407,2,"8775,9407",0.000000,tie
0.75,common9_plus_1338_6289_7531,3,"1338,6289,7531",0.015625,pass
0.75,common9_plus_1338_6289_8775,3,"1338,6289,8775",0.015625,pass
0.75,common9_plus_1338_6289_9407,3,"1338,6289,9407",0.031250,pass
0.75,common9_plus_1338_7531_8775,3,"1338,7531,8775",0.015625,pass
0.75,common9_plus_1338_7531_9407,3,"1338,7531,9407",0.015625,pass
0.75,common9_plus_1338_8775_9407,3,"1338,8775,9407",0.015625,pass
0.75,common9_plus_6289_7531_8775,3,"6289,7531,8775",0.015625,pass
0.75,common9_plus_6289_7531_9407,3,"6289,7531,9407",0.000000,tie
0.75,common9_plus_6289_8775_9407,3,"6289,8775,9407",0.015625,pass
0.75,common9_plus_7531_8775_9407,3,"7531,8775,9407",0.015625,pass
0.75,common9_plus_1338_6289_7531_8775,4,"1338,6289,7531,8775",0.015625,pass
0.75,common9_plus_1338_6289_7531_9407,4,"1338,6289,7531,9407",0.015625,pass
0.75,common9_plus_1338_6289_8775_9407,4,"1338,6289,8775,9407",0.000000,tie
0.75,common9_plus_1338_7531_8775_9407,4,"1338,7531,8775,9407",0.015625,pass
0.75,common9_plus_6289_7531_8775_9407,4,"6289,7531,8775,9407",0.015625,pass
0.75,common9_plus_1338_6289_7531_8775_9407,5,"1338,6289,7531,8775,9407",0.015625,pass
0.80,common9_plus_none,0,,0.359375,pass
0.80,common9_plus_1338,1,1338,0.375000,pass
0.80,common9_plus_6289,1,6289,0.375000,pass
0.80,common9_plus_7531,1,7531,0.375000,pass
0.80,common9_plus_8775,1,8775,0.375000,pass
0.80,common9_plus_9407,1,9407,0.375000,pass
0.80,common9_plus_1338_6289,2,"1338,6289",0.375000,pass
0.80,common9_plus_1338_7531,2,"1338,7531",0.390625,pass
0.80,common9_plus_1338_8775,2,"1338,8775",0.375000,pass
0.80,common9_plus_1338_9407,2,"1338,9407",0.375000,pass
0.80,common9_plus_6289_7531,2,"6289,7531",0.375000,pass
0.80,common9_plus_6289_8775,2,"6289,8775",0.375000,pass
0.80,common9_plus_6289_9407,2,"6289,9407",0.375000,pass
0.80,common9_plus_7531_8775,2,"7531,8775",0.390625,pass
0.80,common9_plus_7531_9407,2,"7531,9407",0.390625,pass
0.80,common9_plus_8775_9407,2,"8775,9407",0.375000,pass
0.80,common9_plus_1338_6289_7531,3,"1338,6289,7531",0.390625,pass
0.80,common9_plus_1338_6289_8775,3,"1338,6289,8775",0.390625,pass
0.80,common9_plus_1338_6289_9407,3,"1338,6289,9407",0.375000,pass
0.80,common9_plus_1338_7531_8775,3,"1338,7531,8775",0.390625,pass
0.80,common9_plus_1338_7531_9407,3,"1338,7531,9407",0.390625,pass
0.80,common9_plus_1338_8775_9407,3,"1338,8775,9407",0.390625,pass
0.80,common9_plus_6289_7531_8775,3,"6289,7531,8775",0.375000,pass
0.80,common9_plus_6289_7531_9407,3,"6289,7531,9407",0.375000,pass
0.80,common9_plus_6289_8775_9407,3,"6289,8775,9407",0.390625,pass
0.80,common9_plus_7531_8775_9407,3,"7531,8775,9407",0.375000,pass
0.80,common9_plus_1338_6289_7531_8775,4,"1338,6289,7531,8775",0.390625,pass
0.80,common9_plus_1338_6289_7531_9407,4,"1338,6289,7531,9407",0.390625,pass
0.80,common9_plus_1338_6289_8775_9407,4,"1338,6289,8775,9407",0.390625,pass
0.80,common9_plus_1338_7531_8775_9407,4,"1338,7531,8775,9407",0.390625,pass
0.80,common9_plus_6289_7531_8775_9407,4,"6289,7531,8775,9407",0.390625,pass
0.80,common9_plus_1338_6289_7531_8775_9407,5,"1338,6289,7531,8775,9407",0.390625,pass
