bundle,feature_ids,layer,selected_features
critical12,"1338,4326,4339,6289,8775,9135,12652,12704,12963,13622,14991,15169",20,12
critical12_plus_rank003,"1338,4326,4339,6289,8775,9135,12652,12704,12963,13060,13622,14991,15169",20,13
critical12_plus_rank004,"1338,4326,4339,6169,6289,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank005,"1338,4326,4339,6289,8775,9135,12652,12704,12963,13622,13882,14991,15169",20,13
critical12_plus_rank006,"1338,4326,4339,6289,8775,9135,9407,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank008,"1338,4326,4339,5355,6289,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank010,"1338,4326,4339,6289,8754,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank011,"1338,3850,4326,4339,6289,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank012,"1338,4326,4339,6289,8775,9135,12652,12704,12963,13622,13854,14991,15169",20,13
critical12_plus_rank013,"1338,4326,4339,6289,7965,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank015,"1338,4326,4339,6289,8775,9135,11414,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank017,"1338,4326,4339,6289,8775,9135,12002,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank018,"1338,4326,4339,6289,8775,9001,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank019,"1338,4326,4339,6289,8775,9024,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank021,"1338,4326,4339,6289,8775,9135,11545,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank022,"1338,4326,4339,6289,8775,9135,9149,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank023,"1338,4326,4339,6289,7531,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank026,"1338,4326,4339,5990,6289,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank029,"321,1338,4326,4339,6289,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank030,"1338,4326,4339,6289,8775,9135,12313,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank031,"1338,1813,4326,4339,6289,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank032,"1100,1338,4326,4339,6289,8775,9135,12652,12704,12963,13622,14991,15169",20,13
critical12_plus_rank003_rank004,"1338,4326,4339,6169,6289,8775,9135,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank005,"1338,4326,4339,6289,8775,9135,12652,12704,12963,13060,13622,13882,14991,15169",20,14
critical12_plus_rank003_rank006,"1338,4326,4339,6289,8775,9135,9407,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank008,"1338,4326,4339,5355,6289,8775,9135,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank010,"1338,4326,4339,6289,8754,8775,9135,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank011,"1338,3850,4326,4339,6289,8775,9135,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank012,"1338,4326,4339,6289,8775,9135,12652,12704,12963,13060,13622,13854,14991,15169",20,14
critical12_plus_rank003_rank013,"1338,4326,4339,6289,7965,8775,9135,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank015,"1338,4326,4339,6289,8775,9135,11414,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank017,"1338,4326,4339,6289,8775,9135,12002,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank018,"1338,4326,4339,6289,8775,9001,9135,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank019,"1338,4326,4339,6289,8775,9024,9135,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank021,"1338,4326,4339,6289,8775,9135,11545,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank022,"1338,4326,4339,6289,8775,9135,9149,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank023,"1338,4326,4339,6289,7531,8775,9135,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank026,"1338,4326,4339,5990,6289,8775,9135,12652,12704,12963,13060,13622,14991,15169",20,14
critical12_plus_rank003_rank029,"321,1338,4326,4339,6289,8775,9135,12652,12704,12963,13060,13622,14991,15169",20,14
